system:index,CrimeCount,CrimeRank,CrimeRate,DZName,DataZone,Decilev2,EduAttain,EduAttend,EduNoQuals,EduPartici,EduRank,EduUniver,EmpNumDep,EmpRank,EmpRate,GAccBrdbnd,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTRet,GAccDTSsch,GAccPTGP,GAccPTPost,GAccPTRet,GAccPetrol,GAccRank,HlthAlcSR,HlthCIF,HlthDprsPc,HlthDrugSR,HlthEmergS,HlthLBWTPc,HlthRank,HlthSMR,HouseNCrat,HouseNumNC,HouseNumOC,HouseOCrat,HouseRank,IncNumDep,IncRankv2,IncRate,LAName,Percentv2,Quintilev2,Rankv2,SAPE2017,Shape_Area,Shape_Leng,Vigintilv2,WAPE2017,mean,.geo
000000000000000000db,49,829.0,550,Glenwood South - 05,S01009977,1,4.7,67%,248,5%,274,6%,221,14.0,37%,0%,2.35,2.6,2.84,3.47,1.88,7.78,9.36,10.75,4.13,4812,440,270,34%,593,174,4%,39,145,2%,17,255,28%,383.0,400,28.0,45%,Glasgow City,1,1,27,895,146879.030907,2720.33486514,1,603,0.4202745238568851,"{""type"":""Polygon"",""coordinates"":[[[-4.238090367563475,55.80052852872628],[-4.238080410884926,55.80063137756703],[-4.2380584921576165,55.800939650864116],[-4.238096803184457,55.80105494687599],[-4.2381390129251155,55.80123708646941],[-4.238163455913874,55.80138830448483],[-4.238179526741787,55.80153080144698],[-4.238005734727865,55.80153840340954],[-4.237744675170516,55.801543231386646],[-4.237691274210666,55.80157983480478],[-4.2376517560573905,55.80158060105811],[-4.237605265903741,55.80173757792743],[-4.237336227137976,55.80174250985217],[-4.237019160475288,55.80173932057648],[-4.236998507439834,55.80165494935054],[-4.236992636192818,55.80155238965663],[-4.236834314542771,55.80155529227861],[-4.236691671407571,55.80155340489437],[-4.236673842556845,55.801656355768024],[-4.236651424625738,55.801817433144414],[-4.236645532891336,55.80185325004763],[-4.236584760250446,55.802037238025264],[-4.2361446771618825,55.80209880107395],[-4.235876677099438,55.80212154351692],[-4.235474671535025,55.802155613767276],[-4.235364364475805,55.80216655114776],[-4.235443960939048,55.80245059409349],[-4.23491634420637,55.80250488154656],[-4.234837812945164,55.802515234628586],[-4.234797178361345,55.80235981192352],[-4.2338292100612955,55.80247107066483],[-4.233838629326774,55.80249769088801],[-4.233867503293276,55.80258637020411],[-4.233860573062348,55.80260437331581],[-4.233879775788058,55.80266202122097],[-4.233939748193895,55.8028795079478],[-4.23378272676351,55.80290471633597],[-4.233602258450745,55.80293472630715],[-4.23313129362263,55.80301026116039],[-4.233140181534476,55.803027890026335],[-4.233017159061845,55.80309264189464],[-4.233089182758476,55.80324299128319],[-4.233050070235983,55.80325266692032],[-4.232601600592874,55.803305411175565],[-4.232581212922944,55.803225448829025],[-4.232439241372105,55.80323696296221],[-4.232336382335959,55.80323880153925],[-4.232326460895554,55.80320335842931],[-4.232305962145129,55.80312339997005],[-4.231880149609356,55.80315785239994],[-4.23191435288569,55.80334018790376],[-4.231788060750344,55.803346912002375],[-4.231637719938241,55.80334970321806],[-4.231542980059588,55.803355851787536],[-4.231536095266024,55.80323547551919],[-4.231480229779676,55.80322762216295],[-4.231392435656633,55.803215852020024],[-4.231359208418906,55.80318962529754],[-4.231323411130014,55.80311894776507],[-4.231335724364324,55.803056220423585],[-4.231158839480306,55.80301036997296],[-4.230706703259158,55.803139051855645],[-4.2306712545411465,55.80334936725171],[-4.2303564877895,55.80324799290603],[-4.230149218407869,55.80350161575279],[-4.230138967906594,55.80359997179419],[-4.2302604368790515,55.80378517281098],[-4.230481566759394,55.80377221427225],[-4.230750597575841,55.80376729799787],[-4.231522023049868,55.80368194820266],[-4.2316230588596735,55.80392548052791],[-4.23183519464742,55.80389489406317],[-4.231917929293413,55.8040941766045],[-4.232514797622826,55.8040030097398],[-4.233111667588911,55.80391183992218],[-4.233196900862784,55.80415574565489],[-4.2332813393970365,55.80438616440349],[-4.233142995388157,55.804460114419],[-4.232870624366741,55.80454530562293],[-4.232404960046268,55.80471441098868],[-4.232273797440643,55.804774768136596],[-4.231977639310382,55.80486052080403],[-4.229975689197396,55.80503961230218],[-4.229999432488281,55.805177516369845],[-4.230285133784078,55.805324008914596],[-4.231152237612394,55.80580351598799],[-4.23138741713549,55.805759132370774],[-4.231567634512088,55.80572462878022],[-4.23248740641805,55.805600849616525],[-4.233202998261149,55.80550746428339],[-4.233926208745388,55.80540956254602],[-4.234033420959565,55.8053451823917],[-4.2345761487581965,55.80527728811834],[-4.235361663095403,55.8051604033531],[-4.236061445512516,55.805067375593296],[-4.2382473592889385,55.80478222621951],[-4.23856133813461,55.8047318843114],[-4.238693550510796,55.80455095341184],[-4.2385776189987405,55.804463827191455],[-4.238492241643505,55.80352845563737],[-4.23844753024933,55.80330168799927],[-4.238357196986846,55.80283042108164],[-4.238342050708852,55.80270573988866],[-4.238277749270931,55.80227412342058],[-4.23868148191128,55.802271263749546],[-4.2386600377948005,55.802173489727835],[-4.2389523789118595,55.802159252263884],[-4.238926248060463,55.801981231793],[-4.239202488980289,55.801962788574514],[-4.239192558340813,55.80192734664069],[-4.239152604214695,55.80150866472499],[-4.239009956088769,55.801506780203695],[-4.239014728455173,55.801176486108204],[-4.238587730520855,55.80118873350465],[-4.2383826954344705,55.80120591216899],[-4.238380140439323,55.8008847114965],[-4.238578498689629,55.800889947064476],[-4.238571078053016,55.800760752581596],[-4.238586810273352,55.80062209092923],[-4.238660625687082,55.80052707140631],[-4.2383991946560675,55.80052740893089],[-4.238090367563475,55.80052852872628]]]}"
0000000000000000016c,75,85.0,1475,North Barlanark and Easterhouse South - 05,S01010122,1,4.59,64%,278,4%,54,2%,135,15.0,37%,3%,2.22,2.13,3.5,2.41,3.91,5.04,5.57,6.18,2.72,5325,399,305,35%,397,203,0%,9,182,3%,14,105,25%,447.5,233,17.0,46%,Glasgow City,1,1,5,511,365710.715726,4359.12081875,1,373,0.4598291210132217,"{""type"":""Polygon"",""coordinates"":[[[-4.107779901136191,55.86260821647161],[-4.1067751287507575,55.86236669219077],[-4.1069445949604475,55.862859068010586],[-4.106602802809318,55.86357873193515],[-4.106832126472774,55.863565896382646],[-4.107215056969975,55.86375119885794],[-4.107592499252452,55.863833946989395],[-4.1079514980323175,55.863872404539606],[-4.107983500681991,55.863729053501544],[-4.108430732840319,55.86378387181053],[-4.109405674722144,55.863767159832854],[-4.110175000320282,55.86376291625658],[-4.110689539955033,55.863887940113926],[-4.112804266222748,55.86411482555174],[-4.112887646300951,55.864189263967724],[-4.1128471958564745,55.86431937713959],[-4.112745907890833,55.86449957437304],[-4.112937515700926,55.86452302678716],[-4.113130194576001,55.8645643032171],[-4.113223475353312,55.86467430142531],[-4.11322614577416,55.864870503443434],[-4.113796429093085,55.86485179404038],[-4.115387745519741,55.86478875846791],[-4.116089796420107,55.86515150010541],[-4.115652719315858,55.86543112069131],[-4.115866548259426,55.8655702585213],[-4.1155531802478205,55.865789782657885],[-4.116839152092967,55.86638339550968],[-4.117322741764272,55.866522274326925],[-4.117645666099007,55.86662382854435],[-4.117926895560349,55.86669037477234],[-4.117667401814719,55.867024965079686],[-4.117630265093323,55.86707026303322],[-4.117421107790017,55.8673102953949],[-4.117371479477148,55.8674181832846],[-4.117369153164198,55.86752091764628],[-4.117389551772365,55.86760528675015],[-4.117614094130501,55.86794053600711],[-4.118245638003392,55.86831780038607],[-4.118286746852756,55.86834389743316],[-4.119122696324714,55.86868642659578],[-4.119550027859066,55.86837564073342],[-4.1196067336531605,55.86839696304511],[-4.119905872672629,55.868498884541246],[-4.119883134601647,55.86851716597107],[-4.119731338297627,55.86864471928943],[-4.119520454178862,55.868559066796195],[-4.119292813856954,55.86875039430052],[-4.119495345201358,55.868827226175696],[-4.119312576927296,55.86896865829963],[-4.119474357372793,55.869023889291554],[-4.119257088926645,55.8692596084605],[-4.118666680837112,55.869055666672686],[-4.118285172407346,55.869334385021084],[-4.118277435637868,55.86933898143788],[-4.118180826493777,55.86960383498468],[-4.118115320839881,55.86985931390008],[-4.118779426190443,55.86995941193101],[-4.119873464006936,55.8700878216841],[-4.120484648121532,55.8700905937861],[-4.120753737610097,55.87007708241257],[-4.1216314170911845,55.86987454254816],[-4.122271368355416,55.86953332222983],[-4.12242258310305,55.86939693830117],[-4.122699554312511,55.86923601684367],[-4.122989595696071,55.86902575197584],[-4.124028155889826,55.86857506971416],[-4.124183320927099,55.868509911471236],[-4.125624563924143,55.86802098104641],[-4.126976667967279,55.86764516460481],[-4.128489002675803,55.867150588718076],[-4.127812969963961,55.866832109793975],[-4.126589936079406,55.867245878813776],[-4.126482196825969,55.867162991726154],[-4.126347360408114,55.86701807465498],[-4.125804110869104,55.86724159015662],[-4.125579784794942,55.867200881372796],[-4.124193865593862,55.86666708510819],[-4.124288720681127,55.86637099405383],[-4.124401210505561,55.866105781813175],[-4.125314662715198,55.86641572709633],[-4.125532701710207,55.866340552415245],[-4.125716170315396,55.86621252854375],[-4.12629869448415,55.865983787229595],[-4.125496484357819,55.865676417823636],[-4.1251646795584485,55.86555723682546],[-4.124905912232424,55.86546801261116],[-4.1236702683232584,55.865069945553614],[-4.123042002850734,55.8648978358158],[-4.122471913595285,55.86477386959661],[-4.122039531140803,55.86470099850949],[-4.120002155316305,55.8642944388756],[-4.118014574758981,55.86392709151139],[-4.113957407191291,55.86328749426616],[-4.10934621248974,55.8626706841975],[-4.107779901136191,55.86260821647161]]]}"
0000000000000000017c,80,323.0,840,Shettleston North - 02,S01010138,1,4.82,82%,190,14%,864,4%,311,1.0,47%,0%,2.35,2.53,2.93,3.83,4.3,7.67,9.19,10.57,1.96,4467,650,310,33%,767,227,8%,5,184,3%,25,185,20%,889.0,465,7.0,49%,Glasgow City,1,1,24,957,107076.123842,2035.15470428,1,668,0.4762862912403404,"{""type"":""Polygon"",""coordinates"":[[[-4.15416816572783,55.84599728804721],[-4.152788146969078,55.84613746924223],[-4.152296850807517,55.846288819009104],[-4.151897009704878,55.84637169178377],[-4.1486406896611125,55.84685689207141],[-4.147604081453743,55.84718731261594],[-4.145631581412314,55.84794448356234],[-4.145593383593657,55.84811473376874],[-4.145695759234124,55.84824683198784],[-4.145838403139202,55.84824432448805],[-4.146021295061346,55.84839726597671],[-4.146189582916573,55.848572808497174],[-4.145810950727349,55.84875341908769],[-4.146001258569978,55.84947287562103],[-4.146000494350364,55.84960224135263],[-4.146869886310196,55.85012246688739],[-4.147197242042126,55.84987588871273],[-4.147504033018084,55.849973125326585],[-4.147586782210892,55.84989133862687],[-4.147740024915373,55.84979501682448],[-4.146923861601288,55.84951927079513],[-4.147166839600387,55.8493231564364],[-4.147732970047421,55.84894744433521],[-4.1478265260309835,55.84891903678496],[-4.147849841900885,55.848909662645745],[-4.1481978956632375,55.84903747957234],[-4.148319180790761,55.84907990757556],[-4.1484088037440126,55.84912297718464],[-4.148620217365191,55.849217471331976],[-4.1489383160789695,55.84937699423889],[-4.149504434044743,55.849144049046856],[-4.149852609631137,55.84912899709456],[-4.150541388809509,55.84910807427869],[-4.150506262241785,55.848903386385764],[-4.150488824697702,55.848729735898544],[-4.150535218047936,55.848421023355286],[-4.149540414939697,55.848072579097455],[-4.149556136103734,55.84778233533118],[-4.151233008353175,55.84727112403825],[-4.151415699341955,55.8474196413851],[-4.151519587542026,55.84772124263541],[-4.153074160480479,55.847868047232346],[-4.153376186024002,55.847880562674604],[-4.153476738902599,55.84783422759669],[-4.153758831888406,55.84748576092769],[-4.154007436291489,55.84739216798061],[-4.154696180281743,55.8472283641847],[-4.154598999310736,55.84690434619949],[-4.154492030458929,55.84669205423792],[-4.154326468124725,55.84628003985451],[-4.15416816572783,55.84599728804721]]]}"
000000000000000001c1,36,109.0,1256,Petershill - 05,S01010207,1,5.13,74%,267,8%,526,8%,65,11.0,40%,0%,2.73,2.84,2.21,3.88,4.27,6.14,11.29,11.59,1.64,4626,346,275,32%,571,199,5%,42,93,5%,37,374,48%,19.0,141,5.0,49%,Glasgow City,1,1,18,288,119255.036074,1903.68710368,1,165,0.4616613831161092,"{""type"":""GeometryCollection"",""geometries"":[{""type"":""LineString"",""coordinates"":[[-4.210900916454632,55.88034051524973],[-4.210908845671893,55.880340372795665]]},{""type"":""Polygon"",""coordinates"":[[[-4.209514420126713,55.88345736978745],[-4.209949991261991,55.883021203261116],[-4.210031869763128,55.88292601604449],[-4.210126586633206,55.88291537713638],[-4.210158561652076,55.882780976048736],[-4.210829029196719,55.882706502031816],[-4.210785228494577,55.88235478087605],[-4.211235406797454,55.882034407492675],[-4.212289762437363,55.88201102812328],[-4.212276256252557,55.8819130623221],[-4.2122888131517,55.881854869373704],[-4.2122781237318625,55.8818059786343],[-4.212287090758535,55.8816852960789],[-4.212304829091336,55.88157792507649],[-4.212207311176806,55.881539575393006],[-4.211078450575928,55.881229641953546],[-4.210829931951631,55.88118505471244],[-4.210936148551606,55.88096006962773],[-4.2110320171176525,55.88097167917173],[-4.211192401840998,55.881000053439394],[-4.211191642711053,55.88098672332652],[-4.211231766352371,55.88099487930457],[-4.211246615576143,55.88097676197901],[-4.211286092348365,55.880971583988625],[-4.211162270551512,55.88088904589695],[-4.211250868314315,55.88077151184231],[-4.211024301673711,55.88069520914837],[-4.211053240883249,55.880645644609714],[-4.210727803568088,55.880646988183415],[-4.210721032044295,55.88052667537794],[-4.210680385708252,55.88050951974372],[-4.210676315985546,55.88043828516888],[-4.210808595551146,55.88039122773674],[-4.2109009021442905,55.88034051773818],[-4.211134073620184,55.88011323549448],[-4.211148922398928,55.88009511836298],[-4.211066077601821,55.87989582571268],[-4.2110643755185295,55.879726340631926],[-4.210489455659274,55.87980358867249],[-4.21004024852505,55.87986071391283],[-4.209346510816964,55.87994457019816],[-4.209115547518168,55.87993085612593],[-4.208995819305042,55.87991963538061],[-4.208627086299963,55.87985490819587],[-4.208079728046013,55.879860255293806],[-4.2081468059638745,55.88062197324336],[-4.207251294393591,55.88064695272017],[-4.206893903397351,55.880782767348016],[-4.206581970068051,55.88088206467793],[-4.206368654306622,55.880899218332324],[-4.205798459120894,55.88092285922638],[-4.205291743793314,55.88094535086112],[-4.205257031374619,55.88061136078768],[-4.205209638223679,55.88033556706452],[-4.205155386222044,55.87993946541453],[-4.203944195240909,55.879996806603174],[-4.2039456073170225,55.880161877560084],[-4.204044793560894,55.88065087381448],[-4.2041272095399025,55.88098400133112],[-4.20417865870517,55.881331117804045],[-4.20544190130008,55.881772467778795],[-4.2054341647961015,55.881777070552424],[-4.205638229303525,55.88187610095585],[-4.205842282451446,55.88197504648103],[-4.206056109861083,55.88210504928177],[-4.206357819574805,55.882246853020504],[-4.207390322637276,55.883236702377296],[-4.209514420126713,55.88345736978745]]]}]}"
000000000000000001e7,55,515.0,694,Carntyne West and Haghill - 04,S01010245,1,4.8,56%,318,9%,6,4%,232,7.0,42%,0%,3.44,3.89,3.37,3.25,3.94,8.12,8.72,8.71,2.71,3352,489,340,36%,586,235,22%,3,239,2%,20,218,23%,640.0,406,3.0,51%,Glasgow City,1,1,2,796,388029.819599,4584.65456519,1,554,0.34319427816760806,"{""type"":""Polygon"",""coordinates"":[[[-4.2097103069992725,55.85547467902459],[-4.2097218589375895,55.85581804204876],[-4.209125744121102,55.855797515586985],[-4.208943878274309,55.85594797210561],[-4.207851569541618,55.85612827218549],[-4.207785847727083,55.856089270620025],[-4.206649280857505,55.856328309135726],[-4.206250215404642,55.85642469397063],[-4.204889062593483,55.85634200196059],[-4.2039895585385265,55.85628673667694],[-4.2036536563289735,55.85623918326675],[-4.2033674630162805,55.85608813125268],[-4.202916176852049,55.856243523979025],[-4.200488406064703,55.857076658544145],[-4.2013658094644235,55.857301863739956],[-4.201435972697872,55.85742108748645],[-4.20135331884184,55.85820337239043],[-4.201841965261654,55.85842661913236],[-4.201761814376562,55.858553015078364],[-4.201338744662948,55.85850698241388],[-4.1997675499685805,55.85835663924704],[-4.198842451872663,55.85827056888891],[-4.198524455279761,55.858258449870824],[-4.198565921296014,55.8584316399414],[-4.198582282589831,55.858440267241676],[-4.19845175572567,55.858656828943616],[-4.19839338999705,55.859028185671505],[-4.198436737782086,55.85951369879936],[-4.19848202279731,55.85975386520555],[-4.19852551598057,55.85996270998113],[-4.198566356579763,55.86012265692061],[-4.198611123690134,55.86035382729456],[-4.19962280719481,55.86028666606245],[-4.200658236715188,55.86021911158278],[-4.201173542809389,55.86021428777513],[-4.201628856987813,55.86026866276235],[-4.201876242581542,55.860295431549794],[-4.204456249601355,55.860744454059855],[-4.204608768089004,55.86077743382248],[-4.205281847249195,55.86089478189078],[-4.205314783315635,55.86063544210675],[-4.205314013719045,55.860622030350484],[-4.20532216929277,55.859506486428366],[-4.205965386816596,55.859517260175345],[-4.205932179894981,55.85907171359233],[-4.205910811244587,55.858835581078274],[-4.205897857813121,55.8587466368501],[-4.206980271123802,55.85880746395979],[-4.206987472916786,55.85865566016744],[-4.206989093337503,55.85854410542874],[-4.207026914529301,55.85809281972741],[-4.206621399376033,55.857934962147155],[-4.206631323392073,55.85755105540069],[-4.207027519674556,55.85754398193831],[-4.209745193091422,55.857486300688926],[-4.210799202334736,55.85746735270218],[-4.210925947622485,55.85746505909439],[-4.212588582842206,55.85740843893675],[-4.2135623218650045,55.85737307769843],[-4.213501987905925,55.85673166842615],[-4.21342332436959,55.856742014765636],[-4.213210570579202,55.85676809097392],[-4.212822228339909,55.856775085926905],[-4.2128911442985695,55.856590895787434],[-4.213161054547106,55.85617564326649],[-4.213690660834228,55.856282113369055],[-4.214024460841092,55.856293906811636],[-4.214185957881761,55.855786855768535],[-4.214496031978812,55.855799119643706],[-4.214745084488702,55.85515657079337],[-4.213795448816217,55.85505767977553],[-4.213895307456333,55.854859591328044],[-4.213949894674311,55.85442586003193],[-4.212689324053777,55.854296782169044],[-4.2124978824391075,55.8542779039945],[-4.212557794354469,55.85407608257667],[-4.212549586583353,55.85365232884798],[-4.213238991264466,55.85350168116726],[-4.213264756262148,55.853536858418536],[-4.21363413379661,55.85347667696862],[-4.213625246307511,55.85345903670267],[-4.214004534574186,55.85343431878242],[-4.214028176202855,55.853291144787846],[-4.214154461957824,55.85272221275583],[-4.214223915202011,55.852132012596655],[-4.213801987564269,55.852103932942335],[-4.213626673760115,55.85208926774609],[-4.213554865206163,55.85208160525478],[-4.213574246005478,55.85200542340731],[-4.21357992899137,55.85196517349123],[-4.213086201080902,55.851929428734756],[-4.212775403145534,55.851903750817414],[-4.212747171993145,55.85196679841308],[-4.212492112899981,55.852082850561295],[-4.21234993277177,55.85209434876114],[-4.21189502740427,55.85204451433613],[-4.21177547790969,55.851895016243425],[-4.2118129265042255,55.85171582504873],[-4.211518254198918,55.85169435482982],[-4.211375758966514,55.85183972032419],[-4.209988610099766,55.85157463088892],[-4.209695471584311,55.851860958884664],[-4.2102129361772205,55.85203461059604],[-4.209768766959948,55.852453074850565],[-4.209631768194624,55.852415407668126],[-4.209488852536302,55.85255177157479],[-4.209322876650053,55.85270202065783],[-4.209081196809921,55.85291608951902],[-4.209019557355064,55.852948387435355],[-4.208616030426352,55.85282628239144],[-4.208397158271111,55.85302205132676],[-4.208331618322229,55.853125834159336],[-4.208312485639846,55.85320651462499],[-4.208285250781796,55.85328730201442],[-4.20822272063559,55.85372120972748],[-4.207988804967329,55.85407338102115],[-4.207678708029469,55.854199470409476],[-4.207901070349363,55.85420437232175],[-4.208079187530807,55.85426810649423],[-4.2085079907695695,55.85441656615778],[-4.20881793733852,55.85456713184818],[-4.208903740552594,55.85468164642829],[-4.209683671214909,55.855145015198126],[-4.2097103069992725,55.85547467902459]]]}"
0000000000000000022a,48,706.0,592,Keppochhill - 04,S01010312,1,5.37,77%,262,5%,788,6%,186,20.0,35%,0%,2.52,2.61,4.05,2.53,7.18,9.04,8.68,8.93,2.11,4028,364,305,34%,537,210,5%,8,194,4%,31,241,28%,294.0,378,13.0,46%,Glasgow City,1,1,33,814,118088.804743,1809.43466539,1,535,0.31688219902715875,"{""type"":""Polygon"",""coordinates"":[[[-4.2530027269680115,55.884484809856446],[-4.253512547518105,55.884653948023896],[-4.253565323524251,55.88474222201723],[-4.254101395790752,55.884951033698684],[-4.254147882416591,55.88493232749837],[-4.2544943785733365,55.88515798033504],[-4.254990445661624,55.88563523103835],[-4.255060417145515,55.88574545717353],[-4.255112833146397,55.885829320104605],[-4.2555548487741675,55.886606471303956],[-4.255643220953786,55.886760984440414],[-4.256616078788809,55.88669852496197],[-4.258150442486041,55.886599035206814],[-4.259091031416414,55.88652822782684],[-4.260016270650888,55.88646662219106],[-4.260115294826458,55.886531685974695],[-4.26029453853769,55.886474863969426],[-4.260515806754913,55.8864574260737],[-4.260754539792176,55.88646643881868],[-4.260938778815986,55.88649426711358],[-4.261098088566571,55.88650475062816],[-4.26111212376962,55.886473211108594],[-4.261126429027106,55.886446171456974],[-4.2612626675849485,55.88619387760778],[-4.261468886674354,55.88591789327865],[-4.261603309794336,55.885772607054214],[-4.261608258860639,55.885585177808736],[-4.261790388261714,55.88557734444729],[-4.262194581068066,55.885565484770794],[-4.262222662049101,55.88550249077564],[-4.263518224647811,55.88539392615488],[-4.263480495814235,55.8852919469774],[-4.263423317089784,55.88512793851534],[-4.263430254242166,55.88510991703452],[-4.263216881439682,55.88512725707232],[-4.26311456468819,55.88473203799516],[-4.263112455801848,55.88469637831255],[-4.263041407713388,55.8847021555437],[-4.262971436246215,55.88431977142763],[-4.262808186787982,55.884242471340755],[-4.262647560379457,55.88420966083439],[-4.262658655355157,55.88399088368064],[-4.261831122318899,55.8839569902471],[-4.26179504405542,55.88360967888527],[-4.261397193667175,55.88359468923875],[-4.2612433096116735,55.8836777735913],[-4.261034309892441,55.88377084694411],[-4.261038467048012,55.88411432882584],[-4.26104084332992,55.88415448808584],[-4.260727290644277,55.8842226775995],[-4.260569205076651,55.88423452713184],[-4.260292410783316,55.884252949968435],[-4.260024035912334,55.88428018421998],[-4.259865807488398,55.884287613770404],[-4.259652962852929,55.88431377733237],[-4.259557518093172,55.88431112289077],[-4.259431457483159,55.88432679785032],[-4.259084305970108,55.884364411338574],[-4.258847430816192,55.88438655509016],[-4.258696826912332,55.88438938054228],[-4.258285987334861,55.8844236639087],[-4.258088516522585,55.88444070041146],[-4.258091144571108,55.884485275082746],[-4.257988591041922,55.88449605214684],[-4.2572848280982205,55.884544627459476],[-4.256250447158795,55.88463942109384],[-4.256076754642744,55.884656058009774],[-4.25567156031174,55.88465006613711],[-4.254832050967346,55.88468332452861],[-4.25465072472438,55.884704476987245],[-4.2544755797731515,55.88483261296836],[-4.2542652485858445,55.88476509536164],[-4.25368242235669,55.884570491005235],[-4.253386891497187,55.88454020066633],[-4.2530027269680115,55.884484809856446]]]}"
00000000000000000235,56,291.0,874,Possil Park - 01,S01010323,1,5.63,71%,297,4%,328,2%,169,6.0,43%,0%,0.85,1.81,2.84,1.78,5.46,3.04,6.62,6.86,1.97,6573,832,370,47%,1308,399,6%,1,377,2%,13,191,32%,241.0,378,1.0,59%,Glasgow City,1,1,12,644,162880.378544,2659.19020969,1,402,0.36063331388017605,"{""type"":""Polygon"",""coordinates"":[[[-4.241479944806592,55.88606047810237],[-4.242162700594257,55.88606146681334],[-4.2457990817711275,55.88607101662387],[-4.245729343895947,55.88568852940369],[-4.248264412226793,55.885735964091396],[-4.248261378631039,55.885820806130745],[-4.248246374952034,55.88597276216534],[-4.2482370171182495,55.88608445196816],[-4.248231726482932,55.88626746726065],[-4.248222879391379,55.88652641042597],[-4.248313482835057,55.88713159812267],[-4.249481475388461,55.88715035142505],[-4.2504433624044715,55.88717297335205],[-4.251659837870625,55.88720424121752],[-4.252734815778221,55.887260461548045],[-4.2527708222984835,55.88623801556937],[-4.252908819670691,55.885878559153866],[-4.2528876996595635,55.88565144942072],[-4.252913434808477,55.8854100457849],[-4.25291633079076,55.8851868723047],[-4.252934062864121,55.88480732561612],[-4.252973450218402,55.88480213707597],[-4.2530027269680115,55.884484809856446],[-4.252909118999534,55.884513310036766],[-4.252710344090207,55.884508007656514],[-4.252511838543604,55.88450720472921],[-4.252400763877281,55.88450916807859],[-4.250637834220008,55.88449685672334],[-4.2493746281243965,55.88447978619184],[-4.249009274789237,55.88447750251814],[-4.248802903199695,55.88447687991179],[-4.24832634310875,55.88447213479328],[-4.247356067980633,55.8844407704589],[-4.246096215587427,55.884481657889154],[-4.245612207629694,55.88448600697681],[-4.245622641425565,55.884253814678864],[-4.245632643243616,55.88374054762764],[-4.245155865109281,55.883731374182645],[-4.245184122073836,55.88408337942836],[-4.244993631912305,55.88408237326988],[-4.244803029983241,55.88408137066912],[-4.24478772840832,55.8843672429285],[-4.244779711656367,55.884777842337684],[-4.2441123182034275,55.88476766173818],[-4.243222583843039,55.8847571404924],[-4.243200417165516,55.885060946749746],[-4.242239655798895,55.88505618306835],[-4.241620076342451,55.88504961666666],[-4.241635366514693,55.884902077953356],[-4.239803754881893,55.88480154023498],[-4.239471990480454,55.88620856040358],[-4.240284256191197,55.886251809381854],[-4.240414065532671,55.88574972300578],[-4.24150461964515,55.88580124843252],[-4.241479944806592,55.88606047810237]]]}"
0000000000000000025c,129,71.0,1548,Wyndford - 05,S01010362,1,5.0,68%,204,9%,338,2%,283,2.0,44%,0%,1.79,1.79,4.93,3.06,3.72,6.8,4.94,6.86,4.77,5122,433,255,32%,448,162,3%,87,113,10%,77,250,32%,92.0,372,27.0,45%,Glasgow City,1,1,21,831,80326.4796125,1366.46981992,1,645,0.407733469052674,"{""type"":""Polygon"",""coordinates"":[[[-4.288615186448599,55.88666534071997],[-4.288995447890664,55.886787634304305],[-4.288888015359319,55.887119876320234],[-4.2891869328919725,55.887341826156735],[-4.289377723547193,55.887347178384495],[-4.2896637689198505,55.88735082933726],[-4.289698655351484,55.88740372661632],[-4.290550372970446,55.887441359519045],[-4.290720528959794,55.88763452494635],[-4.29073209806412,55.88783066291854],[-4.290696786232438,55.888041026780414],[-4.291002821412161,55.88824945412721],[-4.291432655909208,55.88826825640968],[-4.291426290394126,55.88842894533736],[-4.29142230995812,55.888495959596845],[-4.2913835575022965,55.88878225475343],[-4.292141439614635,55.88884399320973],[-4.292249269032679,55.88824856442678],[-4.292795221244268,55.88794842242463],[-4.292927341779087,55.88790127594272],[-4.2931737248300035,55.88790562066942],[-4.293434323552179,55.88801675915632],[-4.294237029731584,55.888434612049565],[-4.295971917831897,55.887429603436104],[-4.29575994798854,55.88733540795472],[-4.295378043174696,55.88705247014559],[-4.295045019015174,55.88692488932759],[-4.294671340389416,55.88678009249712],[-4.292996903487077,55.88638744938638],[-4.292509987871814,55.88620915843615],[-4.292128148783015,55.88592621296032],[-4.291568941605848,55.885731380708364],[-4.29101385875675,55.88574178773371],[-4.290660113511743,55.885801842168355],[-4.290550169844666,55.885821752554],[-4.2903731333326025,55.885780444645185],[-4.289941046810389,55.88599373413906],[-4.2892539350191035,55.88632327664251],[-4.288615186448599,55.88666534071997]]]}"
